topic_id,title,url,author,replies,last_post,section,section_code
3276941718960217018,"置顶： Wiki, Starting tips, FAQs",https://steamcommunity.com/app/1794680/discussions/0/3276941718960217018/,Virgil Infernas,2,2025 年 4 月 15 日 下午 2:56,交易,trading
3318610798951115222,置顶： SAVEDATA RECOVERY,https://steamcommunity.com/app/1794680/discussions/0/3318610798951115222/,Virgil Infernas,1,2022 年 10 月 23 日 上午 2:03,交易,trading
800093528412851354,Should I buy this?,https://steamcommunity.com/app/1794680/discussions/0/800093528412851354/,Jay,14,11 小时以前,交易,trading
841753826211061119,"Simondo bugged, or stupidly rare?",https://steamcommunity.com/app/1794680/discussions/0/841753826211061119/,Dragonix,0,19 小时以前,交易,trading
841753627754292655,what do i do once i've unlocked everything and done everything :(,https://steamcommunity.com/app/1794680/discussions/0/841753627754292655/,h311 k1113r,4,5 月 12 日 上午 6:10,交易,trading
3765608282428488855,When can we expect controller support to work on Mac OS?,https://steamcommunity.com/app/1794680/discussions/0/3765608282428488855/,eisenfuchs,3,5 月 12 日 上午 5:30,交易,trading
841753627754423036,"View Gold past 9,999,999?",https://steamcommunity.com/app/1794680/discussions/0/841753627754423036/,Sasha the Slayer,2,5 月 11 日 上午 10:59,交易,trading
841753627754288723,Finding Pugnala,https://steamcommunity.com/app/1794680/discussions/0/841753627754288723/,rohancid,4,5 月 11 日 上午 6:11,交易,trading
4512128114436423345,Ultrawide support,https://steamcommunity.com/app/1794680/discussions/0/4512128114436423345/,Scooby4ever,10,5 月 10 日 下午 6:56,交易,trading
841753627754298560,Remote play not working,https://steamcommunity.com/app/1794680/discussions/0/841753627754298560/,GoddessFreya,2,5 月 10 日 下午 1:55,交易,trading
841753627754437480,"When the game's critical hits exceed 10,000, the game will crash.   ﻿",https://steamcommunity.com/app/1794680/discussions/0/841753627754437480/,奉天降杀,1,5 月 10 日 上午 9:58,交易,trading
841753627754414879,Party mode cpu need some improvements,https://steamcommunity.com/app/1794680/discussions/0/841753627754414879/,Anomaly,0,5 月 10 日 上午 3:00,交易,trading
841753396007483178,Есть желающие поиграть вместе?,https://steamcommunity.com/app/1794680/discussions/0/841753396007483178/,КЕНТЮХА**,1,5 月 8 日 下午 10:23,交易,trading
841753396007562445,I emailed the development team about the damage calculation for Shanoa and Comfortere.,https://steamcommunity.com/app/1794680/discussions/0/841753396007562445/,npo,1,5 月 8 日 上午 8:50,交易,trading
604165686037823353,置顶： Online Co-op and Public Beta forum,https://steamcommunity.com/app/1794680/discussions/0/604165686037823353/,Virgil Infernas,0,2025 年 8 月 30 日 上午 1:16,交易,trading
3276941718960217018,"置顶： Wiki, Starting tips, FAQs",https://steamcommunity.com/app/1794680/discussions/0/3276941718960217018/,Virgil Infernas,2,2025 年 4 月 15 日 下午 2:56,交易,trading
3318610798951115222,置顶： SAVEDATA RECOVERY,https://steamcommunity.com/app/1794680/discussions/0/3318610798951115222/,Virgil Infernas,1,2022 年 10 月 23 日 上午 2:03,交易,trading
800093528412851354,Should I buy this?,https://steamcommunity.com/app/1794680/discussions/0/800093528412851354/,Jay,14,11 小时以前,交易,trading
841753826211061119,"Simondo bugged, or stupidly rare?",https://steamcommunity.com/app/1794680/discussions/0/841753826211061119/,Dragonix,0,19 小时以前,交易,trading
841753627754292655,what do i do once i've unlocked everything and done everything :(,https://steamcommunity.com/app/1794680/discussions/0/841753627754292655/,h311 k1113r,4,5 月 12 日 上午 6:10,交易,trading
3765608282428488855,When can we expect controller support to work on Mac OS?,https://steamcommunity.com/app/1794680/discussions/0/3765608282428488855/,eisenfuchs,3,5 月 12 日 上午 5:30,交易,trading
841753627754423036,"View Gold past 9,999,999?",https://steamcommunity.com/app/1794680/discussions/0/841753627754423036/,Sasha the Slayer,2,5 月 11 日 上午 10:59,交易,trading
841753627754288723,Finding Pugnala,https://steamcommunity.com/app/1794680/discussions/0/841753627754288723/,rohancid,4,5 月 11 日 上午 6:11,交易,trading
4512128114436423345,Ultrawide support,https://steamcommunity.com/app/1794680/discussions/0/4512128114436423345/,Scooby4ever,10,5 月 10 日 下午 6:56,交易,trading
841753627754298560,Remote play not working,https://steamcommunity.com/app/1794680/discussions/0/841753627754298560/,GoddessFreya,2,5 月 10 日 下午 1:55,交易,trading
841753627754437480,"When the game's critical hits exceed 10,000, the game will crash.   ﻿",https://steamcommunity.com/app/1794680/discussions/0/841753627754437480/,奉天降杀,1,5 月 10 日 上午 9:58,交易,trading
841753627754414879,Party mode cpu need some improvements,https://steamcommunity.com/app/1794680/discussions/0/841753627754414879/,Anomaly,0,5 月 10 日 上午 3:00,交易,trading
841753396007483178,Есть желающие поиграть вместе?,https://steamcommunity.com/app/1794680/discussions/0/841753396007483178/,КЕНТЮХА**,1,5 月 8 日 下午 10:23,交易,trading
841753396007562445,I emailed the development team about the damage calculation for Shanoa and Comfortere.,https://steamcommunity.com/app/1794680/discussions/0/841753396007562445/,npo,1,5 月 8 日 上午 8:50,交易,trading
604165686037823353,置顶： Online Co-op and Public Beta forum,https://steamcommunity.com/app/1794680/discussions/0/604165686037823353/,Virgil Infernas,0,2025 年 8 月 30 日 上午 1:16,交易,trading
3276941718960217018,"置顶： Wiki, Starting tips, FAQs",https://steamcommunity.com/app/1794680/discussions/0/3276941718960217018/,Virgil Infernas,2,2025 年 4 月 15 日 下午 2:56,交易,trading
3318610798951115222,置顶： SAVEDATA RECOVERY,https://steamcommunity.com/app/1794680/discussions/0/3318610798951115222/,Virgil Infernas,1,2022 年 10 月 23 日 上午 2:03,交易,trading
800093528412851354,Should I buy this?,https://steamcommunity.com/app/1794680/discussions/0/800093528412851354/,Jay,14,11 小时以前,交易,trading
841753826211061119,"Simondo bugged, or stupidly rare?",https://steamcommunity.com/app/1794680/discussions/0/841753826211061119/,Dragonix,0,19 小时以前,交易,trading
841753627754292655,what do i do once i've unlocked everything and done everything :(,https://steamcommunity.com/app/1794680/discussions/0/841753627754292655/,h311 k1113r,4,5 月 12 日 上午 6:10,交易,trading
3765608282428488855,When can we expect controller support to work on Mac OS?,https://steamcommunity.com/app/1794680/discussions/0/3765608282428488855/,eisenfuchs,3,5 月 12 日 上午 5:30,交易,trading
841753627754423036,"View Gold past 9,999,999?",https://steamcommunity.com/app/1794680/discussions/0/841753627754423036/,Sasha the Slayer,2,5 月 11 日 上午 10:59,交易,trading
841753627754288723,Finding Pugnala,https://steamcommunity.com/app/1794680/discussions/0/841753627754288723/,rohancid,4,5 月 11 日 上午 6:11,交易,trading
4512128114436423345,Ultrawide support,https://steamcommunity.com/app/1794680/discussions/0/4512128114436423345/,Scooby4ever,10,5 月 10 日 下午 6:56,交易,trading
841753627754298560,Remote play not working,https://steamcommunity.com/app/1794680/discussions/0/841753627754298560/,GoddessFreya,2,5 月 10 日 下午 1:55,交易,trading
841753627754437480,"When the game's critical hits exceed 10,000, the game will crash.   ﻿",https://steamcommunity.com/app/1794680/discussions/0/841753627754437480/,奉天降杀,1,5 月 10 日 上午 9:58,交易,trading
841753627754414879,Party mode cpu need some improvements,https://steamcommunity.com/app/1794680/discussions/0/841753627754414879/,Anomaly,0,5 月 10 日 上午 3:00,交易,trading
841753396007483178,Есть желающие поиграть вместе?,https://steamcommunity.com/app/1794680/discussions/0/841753396007483178/,КЕНТЮХА**,1,5 月 8 日 下午 10:23,交易,trading
841753396007562445,I emailed the development team about the damage calculation for Shanoa and Comfortere.,https://steamcommunity.com/app/1794680/discussions/0/841753396007562445/,npo,1,5 月 8 日 上午 8:50,交易,trading
604165686037823353,置顶： Online Co-op and Public Beta forum,https://steamcommunity.com/app/1794680/discussions/0/604165686037823353/,Virgil Infernas,0,2025 年 8 月 30 日 上午 1:16,交易,trading
3276941718960217018,"置顶： Wiki, Starting tips, FAQs",https://steamcommunity.com/app/1794680/discussions/0/3276941718960217018/,Virgil Infernas,2,2025 年 4 月 15 日 下午 2:56,交易,trading
3318610798951115222,置顶： SAVEDATA RECOVERY,https://steamcommunity.com/app/1794680/discussions/0/3318610798951115222/,Virgil Infernas,1,2022 年 10 月 23 日 上午 2:03,交易,trading
800093528412851354,Should I buy this?,https://steamcommunity.com/app/1794680/discussions/0/800093528412851354/,Jay,14,11 小时以前,交易,trading
841753826211061119,"Simondo bugged, or stupidly rare?",https://steamcommunity.com/app/1794680/discussions/0/841753826211061119/,Dragonix,0,19 小时以前,交易,trading
841753627754292655,what do i do once i've unlocked everything and done everything :(,https://steamcommunity.com/app/1794680/discussions/0/841753627754292655/,h311 k1113r,4,5 月 12 日 上午 6:10,交易,trading
3765608282428488855,When can we expect controller support to work on Mac OS?,https://steamcommunity.com/app/1794680/discussions/0/3765608282428488855/,eisenfuchs,3,5 月 12 日 上午 5:30,交易,trading
841753627754423036,"View Gold past 9,999,999?",https://steamcommunity.com/app/1794680/discussions/0/841753627754423036/,Sasha the Slayer,2,5 月 11 日 上午 10:59,交易,trading
841753627754288723,Finding Pugnala,https://steamcommunity.com/app/1794680/discussions/0/841753627754288723/,rohancid,4,5 月 11 日 上午 6:11,交易,trading
4512128114436423345,Ultrawide support,https://steamcommunity.com/app/1794680/discussions/0/4512128114436423345/,Scooby4ever,10,5 月 10 日 下午 6:56,交易,trading
841753627754298560,Remote play not working,https://steamcommunity.com/app/1794680/discussions/0/841753627754298560/,GoddessFreya,2,5 月 10 日 下午 1:55,交易,trading
841753627754437480,"When the game's critical hits exceed 10,000, the game will crash.   ﻿",https://steamcommunity.com/app/1794680/discussions/0/841753627754437480/,奉天降杀,1,5 月 10 日 上午 9:58,交易,trading
841753627754414879,Party mode cpu need some improvements,https://steamcommunity.com/app/1794680/discussions/0/841753627754414879/,Anomaly,0,5 月 10 日 上午 3:00,交易,trading
841753396007483178,Есть желающие поиграть вместе?,https://steamcommunity.com/app/1794680/discussions/0/841753396007483178/,КЕНТЮХА**,1,5 月 8 日 下午 10:23,交易,trading
841753396007562445,I emailed the development team about the damage calculation for Shanoa and Comfortere.,https://steamcommunity.com/app/1794680/discussions/0/841753396007562445/,npo,1,5 月 8 日 上午 8:50,交易,trading
604165686037823353,置顶： Online Co-op and Public Beta forum,https://steamcommunity.com/app/1794680/discussions/0/604165686037823353/,Virgil Infernas,0,2025 年 8 月 30 日 上午 1:16,交易,trading
3276941718960217018,"置顶： Wiki, Starting tips, FAQs",https://steamcommunity.com/app/1794680/discussions/0/3276941718960217018/,Virgil Infernas,2,2025 年 4 月 15 日 下午 2:56,交易,trading
3318610798951115222,置顶： SAVEDATA RECOVERY,https://steamcommunity.com/app/1794680/discussions/0/3318610798951115222/,Virgil Infernas,1,2022 年 10 月 23 日 上午 2:03,交易,trading
800093528412851354,Should I buy this?,https://steamcommunity.com/app/1794680/discussions/0/800093528412851354/,Jay,14,11 小时以前,交易,trading
841753826211061119,"Simondo bugged, or stupidly rare?",https://steamcommunity.com/app/1794680/discussions/0/841753826211061119/,Dragonix,0,19 小时以前,交易,trading
841753627754292655,what do i do once i've unlocked everything and done everything :(,https://steamcommunity.com/app/1794680/discussions/0/841753627754292655/,h311 k1113r,4,5 月 12 日 上午 6:10,交易,trading
3765608282428488855,When can we expect controller support to work on Mac OS?,https://steamcommunity.com/app/1794680/discussions/0/3765608282428488855/,eisenfuchs,3,5 月 12 日 上午 5:30,交易,trading
841753627754423036,"View Gold past 9,999,999?",https://steamcommunity.com/app/1794680/discussions/0/841753627754423036/,Sasha the Slayer,2,5 月 11 日 上午 10:59,交易,trading
841753627754288723,Finding Pugnala,https://steamcommunity.com/app/1794680/discussions/0/841753627754288723/,rohancid,4,5 月 11 日 上午 6:11,交易,trading
4512128114436423345,Ultrawide support,https://steamcommunity.com/app/1794680/discussions/0/4512128114436423345/,Scooby4ever,10,5 月 10 日 下午 6:56,交易,trading
841753627754298560,Remote play not working,https://steamcommunity.com/app/1794680/discussions/0/841753627754298560/,GoddessFreya,2,5 月 10 日 下午 1:55,交易,trading
841753627754437480,"When the game's critical hits exceed 10,000, the game will crash.   ﻿",https://steamcommunity.com/app/1794680/discussions/0/841753627754437480/,奉天降杀,1,5 月 10 日 上午 9:58,交易,trading
841753627754414879,Party mode cpu need some improvements,https://steamcommunity.com/app/1794680/discussions/0/841753627754414879/,Anomaly,0,5 月 10 日 上午 3:00,交易,trading
841753396007483178,Есть желающие поиграть вместе?,https://steamcommunity.com/app/1794680/discussions/0/841753396007483178/,КЕНТЮХА**,1,5 月 8 日 下午 10:23,交易,trading
841753396007562445,I emailed the development team about the damage calculation for Shanoa and Comfortere.,https://steamcommunity.com/app/1794680/discussions/0/841753396007562445/,npo,1,5 月 8 日 上午 8:50,交易,trading
604165686037823353,置顶： Online Co-op and Public Beta forum,https://steamcommunity.com/app/1794680/discussions/0/604165686037823353/,Virgil Infernas,0,2025 年 8 月 30 日 上午 1:16,交易,trading
3276941718960217018,"置顶： Wiki, Starting tips, FAQs",https://steamcommunity.com/app/1794680/discussions/0/3276941718960217018/,Virgil Infernas,2,2025 年 4 月 15 日 下午 2:56,交易,trading
3318610798951115222,置顶： SAVEDATA RECOVERY,https://steamcommunity.com/app/1794680/discussions/0/3318610798951115222/,Virgil Infernas,1,2022 年 10 月 23 日 上午 2:03,交易,trading
800093528412851354,Should I buy this?,https://steamcommunity.com/app/1794680/discussions/0/800093528412851354/,Jay,14,11 小时以前,交易,trading
841753826211061119,"Simondo bugged, or stupidly rare?",https://steamcommunity.com/app/1794680/discussions/0/841753826211061119/,Dragonix,0,19 小时以前,交易,trading
841753627754292655,what do i do once i've unlocked everything and done everything :(,https://steamcommunity.com/app/1794680/discussions/0/841753627754292655/,h311 k1113r,4,5 月 12 日 上午 6:10,交易,trading
3765608282428488855,When can we expect controller support to work on Mac OS?,https://steamcommunity.com/app/1794680/discussions/0/3765608282428488855/,eisenfuchs,3,5 月 12 日 上午 5:30,交易,trading
841753627754423036,"View Gold past 9,999,999?",https://steamcommunity.com/app/1794680/discussions/0/841753627754423036/,Sasha the Slayer,2,5 月 11 日 上午 10:59,交易,trading
841753627754288723,Finding Pugnala,https://steamcommunity.com/app/1794680/discussions/0/841753627754288723/,rohancid,4,5 月 11 日 上午 6:11,交易,trading
4512128114436423345,Ultrawide support,https://steamcommunity.com/app/1794680/discussions/0/4512128114436423345/,Scooby4ever,10,5 月 10 日 下午 6:56,交易,trading
841753627754298560,Remote play not working,https://steamcommunity.com/app/1794680/discussions/0/841753627754298560/,GoddessFreya,2,5 月 10 日 下午 1:55,交易,trading
841753627754437480,"When the game's critical hits exceed 10,000, the game will crash.   ﻿",https://steamcommunity.com/app/1794680/discussions/0/841753627754437480/,奉天降杀,1,5 月 10 日 上午 9:58,交易,trading
841753627754414879,Party mode cpu need some improvements,https://steamcommunity.com/app/1794680/discussions/0/841753627754414879/,Anomaly,0,5 月 10 日 上午 3:00,交易,trading
841753396007483178,Есть желающие поиграть вместе?,https://steamcommunity.com/app/1794680/discussions/0/841753396007483178/,КЕНТЮХА**,1,5 月 8 日 下午 10:23,交易,trading
841753396007562445,I emailed the development team about the damage calculation for Shanoa and Comfortere.,https://steamcommunity.com/app/1794680/discussions/0/841753396007562445/,npo,1,5 月 8 日 上午 8:50,交易,trading
604165686037823353,置顶： Online Co-op and Public Beta forum,https://steamcommunity.com/app/1794680/discussions/0/604165686037823353/,Virgil Infernas,0,2025 年 8 月 30 日 上午 1:16,交易,trading
3276941718960217018,"置顶： Wiki, Starting tips, FAQs",https://steamcommunity.com/app/1794680/discussions/0/3276941718960217018/,Virgil Infernas,2,2025 年 4 月 15 日 下午 2:56,交易,trading
3318610798951115222,置顶： SAVEDATA RECOVERY,https://steamcommunity.com/app/1794680/discussions/0/3318610798951115222/,Virgil Infernas,1,2022 年 10 月 23 日 上午 2:03,交易,trading
800093528412851354,Should I buy this?,https://steamcommunity.com/app/1794680/discussions/0/800093528412851354/,Jay,14,11 小时以前,交易,trading
841753826211061119,"Simondo bugged, or stupidly rare?",https://steamcommunity.com/app/1794680/discussions/0/841753826211061119/,Dragonix,0,19 小时以前,交易,trading
841753627754292655,what do i do once i've unlocked everything and done everything :(,https://steamcommunity.com/app/1794680/discussions/0/841753627754292655/,h311 k1113r,4,5 月 12 日 上午 6:10,交易,trading
3765608282428488855,When can we expect controller support to work on Mac OS?,https://steamcommunity.com/app/1794680/discussions/0/3765608282428488855/,eisenfuchs,3,5 月 12 日 上午 5:30,交易,trading
841753627754423036,"View Gold past 9,999,999?",https://steamcommunity.com/app/1794680/discussions/0/841753627754423036/,Sasha the Slayer,2,5 月 11 日 上午 10:59,交易,trading
841753627754288723,Finding Pugnala,https://steamcommunity.com/app/1794680/discussions/0/841753627754288723/,rohancid,4,5 月 11 日 上午 6:11,交易,trading
4512128114436423345,Ultrawide support,https://steamcommunity.com/app/1794680/discussions/0/4512128114436423345/,Scooby4ever,10,5 月 10 日 下午 6:56,交易,trading
841753627754298560,Remote play not working,https://steamcommunity.com/app/1794680/discussions/0/841753627754298560/,GoddessFreya,2,5 月 10 日 下午 1:55,交易,trading
841753627754437480,"When the game's critical hits exceed 10,000, the game will crash.   ﻿",https://steamcommunity.com/app/1794680/discussions/0/841753627754437480/,奉天降杀,1,5 月 10 日 上午 9:58,交易,trading
841753627754414879,Party mode cpu need some improvements,https://steamcommunity.com/app/1794680/discussions/0/841753627754414879/,Anomaly,0,5 月 10 日 上午 3:00,交易,trading
841753396007483178,Есть желающие поиграть вместе?,https://steamcommunity.com/app/1794680/discussions/0/841753396007483178/,КЕНТЮХА**,1,5 月 8 日 下午 10:23,交易,trading
841753396007562445,I emailed the development team about the damage calculation for Shanoa and Comfortere.,https://steamcommunity.com/app/1794680/discussions/0/841753396007562445/,npo,1,5 月 8 日 上午 8:50,交易,trading
604165686037823353,置顶： Online Co-op and Public Beta forum,https://steamcommunity.com/app/1794680/discussions/0/604165686037823353/,Virgil Infernas,0,2025 年 8 月 30 日 上午 1:16,交易,trading
3276941718960217018,"置顶： Wiki, Starting tips, FAQs",https://steamcommunity.com/app/1794680/discussions/0/3276941718960217018/,Virgil Infernas,2,2025 年 4 月 15 日 下午 2:56,交易,trading
3318610798951115222,置顶： SAVEDATA RECOVERY,https://steamcommunity.com/app/1794680/discussions/0/3318610798951115222/,Virgil Infernas,1,2022 年 10 月 23 日 上午 2:03,交易,trading
800093528412851354,Should I buy this?,https://steamcommunity.com/app/1794680/discussions/0/800093528412851354/,Jay,14,11 小时以前,交易,trading
841753826211061119,"Simondo bugged, or stupidly rare?",https://steamcommunity.com/app/1794680/discussions/0/841753826211061119/,Dragonix,0,19 小时以前,交易,trading
841753627754292655,what do i do once i've unlocked everything and done everything :(,https://steamcommunity.com/app/1794680/discussions/0/841753627754292655/,h311 k1113r,4,5 月 12 日 上午 6:10,交易,trading
3765608282428488855,When can we expect controller support to work on Mac OS?,https://steamcommunity.com/app/1794680/discussions/0/3765608282428488855/,eisenfuchs,3,5 月 12 日 上午 5:30,交易,trading
841753627754423036,"View Gold past 9,999,999?",https://steamcommunity.com/app/1794680/discussions/0/841753627754423036/,Sasha the Slayer,2,5 月 11 日 上午 10:59,交易,trading
841753627754288723,Finding Pugnala,https://steamcommunity.com/app/1794680/discussions/0/841753627754288723/,rohancid,4,5 月 11 日 上午 6:11,交易,trading
4512128114436423345,Ultrawide support,https://steamcommunity.com/app/1794680/discussions/0/4512128114436423345/,Scooby4ever,10,5 月 10 日 下午 6:56,交易,trading
841753627754298560,Remote play not working,https://steamcommunity.com/app/1794680/discussions/0/841753627754298560/,GoddessFreya,2,5 月 10 日 下午 1:55,交易,trading
841753627754437480,"When the game's critical hits exceed 10,000, the game will crash.   ﻿",https://steamcommunity.com/app/1794680/discussions/0/841753627754437480/,奉天降杀,1,5 月 10 日 上午 9:58,交易,trading
841753627754414879,Party mode cpu need some improvements,https://steamcommunity.com/app/1794680/discussions/0/841753627754414879/,Anomaly,0,5 月 10 日 上午 3:00,交易,trading
841753396007483178,Есть желающие поиграть вместе?,https://steamcommunity.com/app/1794680/discussions/0/841753396007483178/,КЕНТЮХА**,1,5 月 8 日 下午 10:23,交易,trading
841753396007562445,I emailed the development team about the damage calculation for Shanoa and Comfortere.,https://steamcommunity.com/app/1794680/discussions/0/841753396007562445/,npo,1,5 月 8 日 上午 8:50,交易,trading
604165686037823353,置顶： Online Co-op and Public Beta forum,https://steamcommunity.com/app/1794680/discussions/0/604165686037823353/,Virgil Infernas,0,2025 年 8 月 30 日 上午 1:16,交易,trading
3276941718960217018,"置顶： Wiki, Starting tips, FAQs",https://steamcommunity.com/app/1794680/discussions/0/3276941718960217018/,Virgil Infernas,2,2025 年 4 月 15 日 下午 2:56,交易,trading
3318610798951115222,置顶： SAVEDATA RECOVERY,https://steamcommunity.com/app/1794680/discussions/0/3318610798951115222/,Virgil Infernas,1,2022 年 10 月 23 日 上午 2:03,交易,trading
800093528412851354,Should I buy this?,https://steamcommunity.com/app/1794680/discussions/0/800093528412851354/,Jay,14,11 小时以前,交易,trading
841753826211061119,"Simondo bugged, or stupidly rare?",https://steamcommunity.com/app/1794680/discussions/0/841753826211061119/,Dragonix,0,19 小时以前,交易,trading
841753627754292655,what do i do once i've unlocked everything and done everything :(,https://steamcommunity.com/app/1794680/discussions/0/841753627754292655/,h311 k1113r,4,5 月 12 日 上午 6:10,交易,trading
3765608282428488855,When can we expect controller support to work on Mac OS?,https://steamcommunity.com/app/1794680/discussions/0/3765608282428488855/,eisenfuchs,3,5 月 12 日 上午 5:30,交易,trading
841753627754423036,"View Gold past 9,999,999?",https://steamcommunity.com/app/1794680/discussions/0/841753627754423036/,Sasha the Slayer,2,5 月 11 日 上午 10:59,交易,trading
